epoch,train_loss,train_mIoU,val_loss,val_mIoU
144,1.1526,0.4272,0.9851,0.3849
145,1.1407,0.4388,1.0791,0.3447
146,1.1578,0.4225,1.0083,0.3983
147,1.1526,0.4221,0.9577,0.3804
148,1.1572,0.4230,0.9954,0.3682
149,1.1654,0.4224,1.0572,0.3781
150,1.1513,0.4182,1.0839,0.3649
151,1.1461,0.4258,1.1308,0.3237
152,1.1652,0.4274,1.1104,0.3135
153,1.1686,0.4158,1.1043,0.3470
154,1.1575,0.4157,1.0778,0.3740
155,1.1634,0.4207,1.0801,0.3356
156,1.1525,0.4204,0.9715,0.3695
157,1.1421,0.4193,1.0750,0.3287
158,1.1398,0.4284,1.1101,0.3626
159,1.1433,0.4348,0.9852,0.3812
160,1.1508,0.4304,1.0290,0.3993
161,1.1457,0.4387,1.1261,0.3709
162,1.1371,0.4267,0.9526,0.3654
163,1.1562,0.4245,1.0309,0.3542
164,1.1361,0.4371,0.9954,0.3912
165,1.1340,0.4452,0.9935,0.3810
166,1.1660,0.4325,0.9446,0.3612
167,1.1101,0.4448,1.0299,0.3497
168,1.1318,0.4427,0.9964,0.3902
169,1.1370,0.4360,1.1350,0.3296
170,1.1486,0.4452,0.9609,0.3902
171,1.1409,0.4399,1.1936,0.3338
172,1.1316,0.4310,0.9544,0.4103
173,1.1481,0.4326,0.9792,0.3710
174,1.1393,0.4318,1.0883,0.3529
175,1.1309,0.4394,1.2596,0.3405
176,1.1228,0.4425,1.0779,0.3661
177,1.1312,0.4323,1.2054,0.3137
178,1.1414,0.4363,1.0863,0.3430
179,1.1347,0.4443,0.9917,0.3926
180,1.1462,0.4432,1.0731,0.3519
181,1.1309,0.4402,1.0376,0.3689
182,1.1452,0.4389,1.0240,0.3578
183,1.1365,0.4426,0.9932,0.3910
184,1.1688,0.4148,1.0799,0.3874
185,1.1608,0.4291,1.0124,0.3789
186,1.1370,0.4353,1.0621,0.3929
187,1.1189,0.4521,0.9695,0.4013
188,1.1731,0.4274,0.9064,0.4143
189,1.1396,0.4323,0.9754,0.3798
190,1.1406,0.4461,1.0037,0.3758
191,1.1696,0.4339,0.9965,0.3799
192,1.1225,0.4546,0.9295,0.4197
193,1.1305,0.4503,0.9770,0.3971
194,1.1369,0.4419,0.9253,0.4161
195,1.1276,0.4539,1.0495,0.4077
196,1.1317,0.4495,0.9464,0.4220
197,1.1361,0.4490,0.9807,0.4010
198,1.1260,0.4706,1.0336,0.3590
199,1.1277,0.4445,0.9859,0.3855
200,1.1337,0.4593,1.0019,0.3658
201,1.1098,0.4474,0.9374,0.4318
202,1.1420,0.4551,0.9482,0.4301
203,1.1508,0.4310,0.9707,0.3905
204,1.1286,0.4526,0.9281,0.4098
205,1.1125,0.4765,1.0022,0.4042
206,1.1275,0.4654,0.9337,0.4110
207,1.1220,0.4764,1.0691,0.3994
208,1.1306,0.4632,1.0094,0.3883
209,1.1262,0.4750,1.0235,0.3822
210,1.1282,0.4588,0.9783,0.4157
211,1.1496,0.4543,1.0732,0.3555
212,1.1310,0.4503,1.0276,0.4210
213,1.1406,0.4638,1.0623,0.3636
214,1.1264,0.4648,0.9033,0.4246
215,1.1258,0.4577,1.2693,0.3135
216,1.1264,0.4654,1.0693,0.4043
217,1.1122,0.4709,0.9360,0.3807
218,1.1351,0.4603,1.0271,0.3522
219,1.1335,0.4510,0.9443,0.3885
220,1.1281,0.4645,1.0130,0.3669
221,1.1200,0.4712,1.0475,0.3520
222,1.1272,0.4653,0.9552,0.3747
223,1.1282,0.4733,0.9102,0.4074
224,1.1289,0.4755,1.0140,0.3782
225,1.1265,0.4717,1.0535,0.3925
226,1.1090,0.4773,0.9424,0.4119
227,1.1232,0.4792,1.0105,0.3911
228,1.1426,0.4688,1.0084,0.3900
229,1.1187,0.4716,0.9355,0.3945
230,1.1283,0.4729,0.9905,0.3896
231,1.1202,0.4650,1.0563,0.3554
232,1.1182,0.4785,1.2098,0.3326
233,1.1044,0.4855,0.9183,0.4144
234,1.1108,0.4773,0.9707,0.4062
235,1.1205,0.4724,0.9106,0.4245
236,1.1341,0.4682,1.0846,0.3650
237,1.1148,0.4759,0.9595,0.3824
238,1.1111,0.4673,0.9561,0.4211
239,1.1063,0.4823,0.9372,0.4186
240,1.1288,0.4800,1.0778,0.3837
241,1.1026,0.4806,0.9187,0.4106
242,1.1239,0.4688,0.9565,0.4115
243,1.1084,0.4785,0.9493,0.4191
244,1.1197,0.4743,0.9543,0.3785
245,1.1330,0.4650,1.1519,0.3185
246,1.1204,0.4653,0.9745,0.4094
247,1.1124,0.4712,1.0770,0.3858
248,1.1238,0.4597,1.0091,0.3998
249,1.1111,0.4833,1.0071,0.3932
250,1.1109,0.4843,1.0148,0.4098
251,1.1340,0.4635,1.0151,0.4380
252,1.1064,0.4815,1.0084,0.3952
253,1.1193,0.4786,1.0773,0.3632
254,1.1113,0.4731,1.1448,0.3767
255,1.1134,0.4925,0.9642,0.4246
256,1.1430,0.4845,0.9538,0.4359
257,1.1130,0.4814,1.1688,0.3362
258,1.1141,0.4777,0.9601,0.4241
259,1.1242,0.4811,0.9773,0.3478
260,1.1171,0.4854,0.9944,0.4019
261,1.1074,0.4863,1.0986,0.3802
