epoch,loss,mIoU
0,2.2432,0.0705
1,1.9110,0.2130
2,1.7709,0.2549
3,1.7482,0.2710
4,1.7167,0.2932
5,1.6750,0.3039
6,1.6829,0.2975
7,1.7089,0.2944
8,1.7466,0.2788
9,1.6504,0.3386
10,1.6354,0.3385
11,1.6392,0.3668
12,1.6276,0.3189
13,1.6356,0.2928
14,1.6350,0.3583
15,1.5890,0.3826
16,1.6287,0.3549
17,1.5454,0.3041
18,1.6374,0.3986
19,1.4871,0.3065
20,1.6009,0.3528
21,1.5158,0.2934
22,1.6361,0.3634
23,1.5339,0.3745
24,1.5277,0.2602
25,1.6415,0.3315
26,1.5767,0.3546
27,1.5218,0.3656
28,1.5702,0.3438
29,1.4995,0.3899
30,1.5367,0.3971
31,1.4565,0.3605
32,1.5401,0.3231
33,1.5374,0.3045
34,1.5187,0.3896
35,1.4577,0.3499
36,1.5305,0.3357
37,1.5564,0.3598
38,1.4521,0.4264
39,1.4798,0.3999
40,1.5135,0.3883
41,1.5051,0.3922
42,1.3811,0.3769
43,1.4866,0.3545
44,1.4456,0.3042
45,1.4729,0.3468
46,1.4366,0.2463
47,1.5561,0.2934
48,1.4479,0.3932
49,1.5295,0.3464
50,1.4585,0.3935
51,1.4319,0.4124
52,1.3705,0.3787
53,1.5132,0.3945
54,1.3466,0.3564
55,1.4460,0.4169
56,1.4616,0.3977
57,1.3335,0.4261
58,1.4798,0.4152
59,1.3813,0.4110
60,1.4420,0.3721
61,1.4480,0.4179
62,1.3743,0.4175
63,1.3767,0.3837
64,1.3668,0.4175
65,1.4114,0.4202
66,1.3792,0.4175
67,1.3356,0.4257
68,1.3642,0.4013
69,1.4151,0.4110
70,1.4073,0.4037
71,1.2923,0.3840
72,1.3733,0.4115
73,1.3759,0.4027
74,1.2716,0.4199
75,1.3580,0.4018
76,1.4290,0.4222
77,1.2998,0.4077
78,1.3681,0.3981
79,1.3694,0.4138
80,1.2764,0.4164
81,1.3134,0.3978
82,1.3504,0.3928
83,1.2857,0.4203
84,1.3839,0.4375
85,1.3729,0.4133
86,1.3020,0.4291
87,1.3124,0.4136
88,1.3274,0.4115
89,1.3378,0.4385
90,1.3543,0.4363
91,1.3276,0.4038
92,1.2872,0.3970
93,1.3231,0.4133
94,1.3088,0.4263
95,1.3229,0.4278
96,1.2802,0.4133
97,1.3093,0.4282
98,1.3198,0.4004
99,1.3407,0.4326
100,1.3598,0.4079
101,1.2340,0.4320
102,1.2897,0.4370
103,1.2533,0.4159
104,1.3982,0.4257
105,1.2499,0.4261
106,1.3403,0.4365
107,1.3314,0.4263
108,1.2650,0.4303
109,1.3121,0.4373
110,1.2655,0.4216
111,1.3372,0.4137
112,1.2914,0.4295
113,1.2872,0.4218
114,1.2541,0.4347
115,1.3251,0.3940
116,1.2127,0.4403
117,1.3963,0.4486
118,1.2399,0.4286
119,1.3372,0.4399
120,1.2503,0.4407
121,1.2587,0.4590
122,1.2627,0.4383
123,1.2512,0.4563
124,1.2037,0.4364
125,1.2182,0.4171
126,1.2383,0.4363
127,1.2972,0.4463
128,1.2467,0.4669
129,1.3283,0.4535
130,1.2741,0.4595
131,1.2315,0.4561
132,1.2744,0.4572
133,1.2083,0.4566
134,1.2790,0.4417
135,1.3535,0.4568
136,1.3008,0.4680
137,1.2832,0.4666
138,1.2235,0.4627
139,1.2331,0.4526
140,1.3189,0.4603
141,1.2109,0.4501
142,1.2133,0.4404
143,1.2643,0.4544
144,1.2016,0.4505
145,1.3134,0.4491
146,1.1643,0.4515
147,1.2562,0.4502
148,1.2697,0.4730
149,1.1900,0.4602
150,1.2661,0.4444
151,1.2354,0.4487
152,1.3337,0.4542
153,1.2655,0.4421
154,1.2965,0.4516
155,1.2425,0.4503
156,1.1798,0.4560
157,1.2391,0.4634
158,1.2099,0.4588
159,1.2204,0.4500
160,1.2524,0.4636
161,1.1908,0.4738
162,1.1796,0.4790
163,1.1458,0.4714
164,1.2526,0.4686
165,1.2247,0.4677
166,1.2139,0.4702
167,1.1617,0.4674
168,1.1565,0.4692
169,1.2274,0.4652
170,1.1831,0.4571
171,1.2661,0.4632
172,1.2258,0.4594
173,1.2103,0.4648
174,1.1797,0.4650
175,1.3030,0.4653
176,1.2000,0.4603
177,1.1907,0.4590
178,1.2300,0.4676
179,1.2091,0.4690
180,1.2252,0.4620
181,1.2309,0.4632
182,1.2019,0.4645
183,1.2033,0.4686
184,1.1799,0.4657
185,1.2330,0.4657
186,1.2025,0.4748
187,1.2509,0.4740
188,1.2395,0.4724
189,1.2534,0.4697
190,1.1203,0.4665
191,1.2331,0.4644
192,1.2247,0.4668
193,1.2118,0.4663
194,1.1912,0.4652
195,1.1350,0.4634
196,1.1735,0.4618
197,1.1960,0.4644
198,1.2334,0.4658
199,1.1653,0.4666
